"species","strata","yrs","ymeans","yn","ysd","yse"
21740,"Central Aleutians",1986,0.00489331886754467,670,0.0411988477544296,0.0015916503479997
21740,"Central Aleutians",1991,0.00296375566530383,143,0.025827302472939,0.00215978753330317
21740,"Central Aleutians",1994,0.00296511930093713,226,0.0240077706090364,0.00159697314579484
21740,"Central Aleutians",1997,-0.000450296590109656,236,0.0253536765876726,0.00165038377215455
21740,"Central Aleutians",2000,-0.0148093683445204,252,0.0328533318194971,0.00206956537462558
21740,"Central Aleutians",2002,-0.017550041228302,305,0.0317511587406206,0.00181806606074146
21740,"Central Aleutians",2004,-0.00027692567510863,159,0.0041744752888831,0.000331057424738995
21740,"Central Aleutians",2006,-0.00308943901379572,284,0.0206072532663582,0.00122281551011346
21740,"Central Aleutians",2010,0.003529696742394,140,0.0132326753738309,0.00111836518936345
21740,"Central Aleutians",2012,-0.00405551851239303,130,0.0159713233385525,0.0014007777213023
21740,"Central Aleutians",2014,-0.000337333091815704,111,0.00550046429342303,0.000522080966445359
21740,"Central Aleutians",2016,-0.00525341765965352,155,0.0117960092052409,0.000947478259756128
21740,"Central Aleutians",2018,0.00598913361666385,275,0.0152108547941888,0.000917249056234596
21740,"Eastern Aleutians",1986,0.001139291348974,782,0.049997954201796,0.00178792319203596
21740,"Eastern Aleutians",1991,0.0106644899521713,349,0.0403250148023117,0.00215854855378443
21740,"Eastern Aleutians",1994,-0.00342167076160175,237,0.0319695820815849,0.0020766475117516
21740,"Eastern Aleutians",1997,-0.00601999411955284,235,0.0249898915935132,0.00163016078290109
21740,"Eastern Aleutians",2000,-0.0138897200077436,193,0.0486086694522982,0.00349892858947011
21740,"Eastern Aleutians",2002,0.00190748167091859,303,0.0175375462520524,0.00100750570765956
21740,"Eastern Aleutians",2004,0.00111573776291103,50,0.0314471589582168,0.00444729986968128
21740,"Eastern Aleutians",2006,0.0154073031431664,82,0.0890965985813423,0.00983907334941564
21740,"Eastern Aleutians",2010,0.0165670395129541,140,0.0565413767477386,0.00477861851265593
21740,"Eastern Aleutians",2012,-0.00539571065378168,92,0.0703318322284042,0.0073326003933331
21740,"Eastern Aleutians",2014,-0.0272878316252605,180,0.0557189195934827,0.00415304306146241
21740,"Eastern Aleutians",2016,-0.0369133313641215,233,0.0847365807350418,0.00555127797785418
21740,"Eastern Aleutians",2018,-0.0148275704661479,188,0.0741334635210891,0.00540673851310657
21740,"Southern Bering Sea",1986,0.00327194247365625,215,0.00891097491367863,0.000607723445029221
21740,"Southern Bering Sea",1991,0.038108096993884,8,0.0432826259592518,0.0153027191616739
21740,"Southern Bering Sea",1994,-0.0137939036985254,87,0.0408940935239358,0.00438430702678407
21740,"Southern Bering Sea",1997,0.00946102208113917,148,0.0431348078323817,0.00354565936262737
21740,"Southern Bering Sea",2000,0.00288740745483175,94,0.0209560621500552,0.00216145277394866
21740,"Southern Bering Sea",2002,-0.0136232808213171,281,0.0543910805710079,0.00324469983679482
