"YEAR","COMMON_NAME","mean_wt_resid","se_wt_resid"
1997,"Alaska plaice",-0.0330819564407657,0.00554410313246616
1997,"flathead sole",-0.0233833995108043,0.00818977313612045
1998,"Pacific cod",0.0094616354329052,0.00190779770292177
1999,"Alaska plaice",-0.0242667055701858,0.00242720146616174
1999,"flathead sole",-0.0107793344753861,0.0025095000872751
1999,"northern rock sole",-0.0241810285795649,0.00219717210908942
1999,"Pacific cod",-0.0093606059555423,0.00112205010028195
1999,"walleye pollock",-0.00810988812769556,0.000732401793072824
1999,"Walleye pollock (100–250 mm)",-0.0139321041285269,0.00266595384857084
1999,"yellowfin sole",-0.020425985883881,0.001901142309195
2000,"Alaska plaice",-0.00381440396563464,0.0017701641764598
2000,"flathead sole",-0.00703069848578747,0.00189723570432814
2000,"northern rock sole",-0.00288748299151575,0.0030256997334443
2000,"Pacific cod",-0.00206205250577409,0.00127511391982118
2000,"walleye pollock",-0.0054059675598421,0.000818233896780622
2000,"Walleye pollock (100–250 mm)",-0.00324490356042324,0.00459640870041333
2000,"yellowfin sole",-0.0117205763031987,0.00230903212254287
2001,"Alaska plaice",-0.00690527942219736,0.00169933353386357
2001,"flathead sole",-0.0089497693189309,0.0015405462205553
2001,"northern rock sole",0.000109746927037698,0.00169794240747532
2001,"Pacific cod",-0.0002813706653429,0.000931082389899938
2001,"walleye pollock",-0.00548996516954975,0.000804956579040807
2001,"Walleye pollock (100–250 mm)",-0.00380788415238167,0.00281361525512488
2001,"yellowfin sole",-0.0128937889076641,0.00200020542502524
2002,"Alaska plaice",0.000932325744243173,0.00179439709631565
2002,"flathead sole",0.00665348349356048,0.00183737155525118
2002,"northern rock sole",0.0058746136819231,0.00219996738176824
2002,"Pacific cod",0.00380765913360137,0.000999650683662239
2002,"walleye pollock",0.00179528511640765,0.000788700458031062
2002,"Walleye pollock (100–250 mm)",0.0201468838921334,0.00366313545645406
2002,"yellowfin sole",0.00518571007406814,0.00161224393006122
2003,"Alaska plaice",0.00509773187750817,0.00198207855313017
2003,"flathead sole",0.00479102652155109,0.00140631803273825
2003,"northern rock sole",0.00987799407142256,0.00168026538872766
2003,"Pacific cod",0.006865947996736,0.000863074059161482
2003,"walleye pollock",0.00170457742048461,0.000872269203526496
2003,"Walleye pollock (100–250 mm)",0.0124964282720683,0.00353294545665594
2003,"yellowfin sole",0.00824230441145018,0.0018231395733449
2004,"Alaska plaice",0.00208965027691077,0.00211925591586021
2004,"arrowtooth flounder",0.00347310673405619,0.00145160092805647
2004,"flathead sole",0.00278068512198066,0.00204697332028207
2004,"northern rock sole",-0.00122446351123903,0.00202543082819361
2004,"Pacific cod",0.00498721656511098,0.00186659934545574
2004,"walleye pollock",-0.00371277493147642,0.000874329358790298
2004,"Walleye pollock (100–250 mm)",0.00668760647848983,0.00731683249715695
2004,"yellowfin sole",-0.000833749286497535,0.00197458845578884
2005,"Alaska plaice",0.00900386309099116,0.00204377634909681
2005,"arrowtooth flounder",0.00471442088583028,0.00147456980587346
2005,"flathead sole",-0.00404806920710968,0.00165836682755532
2005,"northern rock sole",-0.00735893815197537,0.0023813554229904
2005,"Pacific cod",0.00359932101964466,0.000892618425001121
2005,"walleye pollock",-0.000955411218942547,0.000972497160724495
2005,"Walleye pollock (100–250 mm)",0.00578570886088534,0.00188542011911139
2005,"yellowfin sole",-0.000279402438953365,0.00190388373242752
2006,"Alaska plaice",0.000852408055786516,0.00225768997397654
2006,"arrowtooth flounder",0.00467402159604985,0.00139773178745886
2006,"flathead sole",-0.000702670672798151,0.00132790185841702
2006,"northern rock sole",-0.000732947636877502,0.00214379699344408
2006,"Pacific cod",-0.000111904490794801,0.000918365539371273
2006,"walleye pollock",-0.00497770227207009,0.000940010151253106
2006,"Walleye pollock (100–250 mm)",-0.000409229277308146,0.00428161007534389
2006,"yellowfin sole",-0.00422890020379051,0.00219593891620123
2007,"Alaska plaice",-0.00656444407369248,0.00178872866823999
2007,"flathead sole",-0.000662354887873606,0.00132086932206617
2007,"northern rock sole",-0.000232771311727257,0.0023897825178361
2007,"Pacific cod",0.000759834758533049,0.000846126611333084
2007,"walleye pollock",0.000293455068542009,0.00089138719422662
2007,"Walleye pollock (100–250 mm)",-0.0018912714501849,0.00232488626690732
2007,"yellowfin sole",-0.00687400216761742,0.00166308994053821
2008,"Alaska plaice",-0.0118134083512314,0.00235620042213207
2008,"arrowtooth flounder",-0.0079754261954593,0.00161428183510451
2008,"flathead sole",0.00351664274664861,0.00135132908482617
2008,"northern rock sole",-0.00564831016763365,0.00165765720635748
2008,"Pacific cod",-0.00112947238822699,0.000828531610762574
